Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.001
Sample Interval,8e-06
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.005
Label,
TIME,CH1
1.6000e-03,0.0012
1.6080e-03,-0.0002
1.6160e-03,0.0016
1.6240e-03,0.0012
1.6320e-03,0.0002
1.6400e-03,-0.0014
1.6480e-03,-0.002
1.6560e-03,-0.0006
1.6640e-03,0.0014
1.6720e-03,0.0012
1.6800e-03,-0.0008
1.6880e-03,-0.0026
1.6960e-03,-0.0024
1.7040e-03,0.0012
1.7120e-03,0.0006
1.7200e-03,-0.0014
1.7280e-03,-0.0002
1.7360e-03,0.0008
1.7440e-03,0.002
1.7520e-03,0.0016
1.7600e-03,-0.0004
1.7680e-03,0.001
1.7760e-03,0.0028
1.7840e-03,0.0022
1.7920e-03,0.001
1.8000e-03,-0.0002
1.8080e-03,0.0006
1.8160e-03,0.0016
1.8240e-03,0.0016
1.8320e-03,-0.0012
1.8400e-03,-0.0006
1.8480e-03,0
1.8560e-03,0.0018
1.8640e-03,0
1.8720e-03,-0.0016
1.8800e-03,-0.0012
1.8880e-03,0.0008
1.8960e-03,0.0008
1.9040e-03,-0.0008
1.9120e-03,-0.002
1.9200e-03,0.0002
1.9280e-03,0.0006
1.9360e-03,-0.0008
1.9440e-03,-0.0022
1.9520e-03,-0.0032
1.9600e-03,-0.0014
1.9680e-03,0.0006
1.9760e-03,-0.001
1.9840e-03,-0.0016
1.9920e-03,-0.0014
2.0000e-03,0.002
2.0080e-03,0.0008
2.0160e-03,-0.0016
2.0240e-03,-0.001
2.0320e-03,0.0008
2.0400e-03,0.0022
2.0480e-03,0.0004
2.0560e-03,0.0002
2.0640e-03,-0.0016
2.0720e-03,-0.0004
2.0800e-03,0.0022
2.0880e-03,0.0006
2.0960e-03,-0.0016
2.1040e-03,-0.0018
2.1120e-03,0.0006
2.1200e-03,0.0022
2.1280e-03,-0.0004
2.1360e-03,-0.001
2.1440e-03,-0.0002
2.1520e-03,0.0002
2.1600e-03,0.0018
2.1680e-03,0.0006
2.1760e-03,-0.0014
2.1840e-03,0
2.1920e-03,0
2.2000e-03,0
2.2080e-03,-0.0008
2.2160e-03,-0.0024
2.2240e-03,-0.002
2.2320e-03,-0.0002
2.2400e-03,-0.0004
2.2480e-03,-0.0024
2.2560e-03,-0.0034
2.2640e-03,-0.002
2.2720e-03,-0.0002
2.2800e-03,0.0024
2.2880e-03,0.0012
2.2960e-03,0.0002
2.3040e-03,0.0026
2.3120e-03,0.0042
2.3200e-03,0.0054
2.3280e-03,0.0046
2.3360e-03,0.0052
2.3440e-03,0.0078
2.3520e-03,0.0072
2.3600e-03,0.0058
2.3680e-03,0.0064
2.3760e-03,0.0062
2.3840e-03,0.0088
2.3920e-03,0.0074
2.4000e-03,0.0064
2.4080e-03,0.0078
2.4160e-03,0.0088
2.4240e-03,0.0074
2.4320e-03,0.006
2.4400e-03,0.0082
2.4480e-03,0.0096
2.4560e-03,0.0074
2.4640e-03,0.0056
2.4720e-03,0.007
2.4800e-03,0.0066
2.4880e-03,0.0042
2.4960e-03,0.0056
2.5040e-03,0.0076
2.5120e-03,0.0066
2.5200e-03,0.0026
2.5280e-03,0.002
2.5360e-03,0.0038
2.5440e-03,0.0046
2.5520e-03,0.0022
2.5600e-03,0
2.5680e-03,0.001
2.5760e-03,0.0024
2.5840e-03,0.0014
2.5920e-03,-0.0004
2.6000e-03,0.0002
2.6080e-03,-0.0002
2.6160e-03,-0.0032
2.6240e-03,-0.0032
2.6320e-03,-0.0024
2.6400e-03,-0.0024
2.6480e-03,-0.0046
2.6560e-03,-0.0048
2.6640e-03,-0.003
2.6720e-03,-0.0048
2.6800e-03,-0.0068
2.6880e-03,-0.0064
2.6960e-03,-0.0046
2.7040e-03,-0.0048
2.7120e-03,-0.005
2.7200e-03,-0.0038
2.7280e-03,-0.0054
2.7360e-03,-0.006
2.7440e-03,-0.0054
2.7520e-03,-0.0048
2.7600e-03,-0.0024
2.7680e-03,-0.005
2.7760e-03,-0.0052
2.7840e-03,-0.0028
2.7920e-03,-0.0032
2.8000e-03,-0.0058
2.8080e-03,-0.004
2.8160e-03,-0.0028
2.8240e-03,-0.0042
2.8320e-03,-0.0056
2.8400e-03,-0.0054
2.8480e-03,-0.0036
2.8560e-03,-0.0034
2.8640e-03,-0.0064
2.8720e-03,-0.0052
2.8800e-03,-0.0034
2.8880e-03,-0.0028
2.8960e-03,-0.0036
2.9040e-03,-0.0048
2.9120e-03,-0.0018
2.9200e-03,-0.0006
2.9280e-03,-0.0018
2.9360e-03,-0.0014
2.9440e-03,-0.002
2.9520e-03,-0.0016
2.9600e-03,0.001
2.9680e-03,0.001
2.9760e-03,-0.0004
2.9840e-03,0.0018
2.9920e-03,0.0044
3.0000e-03,0.0034
3.0080e-03,0.0004
3.0160e-03,0.001
3.0240e-03,0.0032
3.0320e-03,0.0024
3.0400e-03,0.0022
3.0480e-03,0.0012
3.0560e-03,0.0046
3.0640e-03,0.0042
3.0720e-03,0.0022
3.0800e-03,0.002
3.0880e-03,0.003
3.0960e-03,0.0028
3.1040e-03,0.0018
3.1120e-03,0.001
3.1200e-03,0.002
3.1280e-03,0.0026
3.1360e-03,0.004
3.1440e-03,0.0016
3.1520e-03,-0.0008
3.1600e-03,-0.0002
3.1680e-03,0.0016
3.1760e-03,0.002
3.1840e-03,0.0002
3.1920e-03,0.0008
3.2000e-03,0.0006
3.2080e-03,-0.0002
3.2160e-03,-0.0006
3.2240e-03,-0.0016
3.2320e-03,-0.0026
3.2400e-03,-0.0006
3.2480e-03,-0.001
3.2560e-03,-0.0012
3.2640e-03,-0.0034
3.2720e-03,-0.0044
3.2800e-03,-0.0028
3.2880e-03,-0.003
3.2960e-03,-0.004
3.3040e-03,-0.005
3.3120e-03,-0.0042
3.3200e-03,-0.0042
3.3280e-03,-0.0032
3.3360e-03,-0.0018
3.3440e-03,-0.0024
3.3520e-03,-0.0042
3.3600e-03,-0.0044
3.3680e-03,-0.005
3.3760e-03,-0.002
3.3840e-03,-0.0002
3.3920e-03,-0.0008
3.4000e-03,-0.0036
3.4080e-03,-0.0054
3.4160e-03,-0.0048
3.4240e-03,-0.002
3.4320e-03,-0.0004
3.4400e-03,-0.0006
3.4480e-03,-0.0034
3.4560e-03,-0.0026
3.4640e-03,-0.0026
3.4720e-03,0.0002
3.4800e-03,0.0002
3.4880e-03,-0.0004
3.4960e-03,-0.001
3.5040e-03,-0.0012
3.5120e-03,-0.0002
3.5200e-03,0.0002
3.5280e-03,0.0008
3.5360e-03,0.0014
3.5440e-03,0.0018
3.5520e-03,0.0012
3.5600e-03,0.0006
3.5680e-03,0.0012
3.5760e-03,0.0018
3.5840e-03,0.003
3.5920e-03,0.0044
3.6000e-03,0.0036
3.6080e-03,0.002
3.6160e-03,0.0008
3.6240e-03,0.0004
3.6320e-03,0.0006
3.6400e-03,0.0016
3.6480e-03,0.0028
3.6560e-03,0.0042
3.6640e-03,0.003
3.6720e-03,0.0002
3.6800e-03,0
3.6880e-03,-0.0012
3.6960e-03,0.001
3.7040e-03,0.0018
3.7120e-03,0.0012
3.7200e-03,-0.001
3.7280e-03,-0.0024
3.7360e-03,-0.0018
3.7440e-03,-0.0026
3.7520e-03,-0.0006
3.7600e-03,-0.0012
3.7680e-03,0.0004
3.7760e-03,-0.0008
3.7840e-03,-0.0006
3.7920e-03,-0.0026
3.8000e-03,-0.0038
3.8080e-03,-0.005
3.8160e-03,-0.0024
3.8240e-03,0.0002
3.8320e-03,0
3.8400e-03,0.001
3.8480e-03,-0.0004
3.8560e-03,-0.0006
3.8640e-03,0
3.8720e-03,0.0006
3.8800e-03,0.002
3.8880e-03,0.0028
3.8960e-03,0.003
3.9040e-03,0.0046
3.9120e-03,0.0062
3.9200e-03,0.0066
3.9280e-03,0.0046
3.9360e-03,0.0034
3.9440e-03,0.0034
3.9520e-03,0.0042
3.9600e-03,0.0046
3.9680e-03,0.0048
3.9760e-03,0.0058
3.9840e-03,0.007
3.9920e-03,0.0066
4.0000e-03,0.0074
4.0080e-03,0.0072
4.0160e-03,0.007
4.0240e-03,0.0056
4.0320e-03,0.005
4.0400e-03,0.0042
4.0480e-03,0.0048
4.0560e-03,0.0044
4.0640e-03,0.004
4.0720e-03,0.0054
4.0800e-03,0.0056
4.0880e-03,0.006
4.0960e-03,0.0042
4.1040e-03,0.0036
4.1120e-03,0.003
4.1200e-03,0.0012
4.1280e-03,-0.0006
4.1360e-03,0.0002
4.1440e-03,-0.0008
4.1520e-03,-0.001
4.1600e-03,0.0004
4.1680e-03,-0.0002
4.1760e-03,-0.0004
4.1840e-03,-0.0016
4.1920e-03,-0.0032
4.2000e-03,-0.005
4.2080e-03,-0.0044
4.2160e-03,-0.005
4.2240e-03,-0.004
4.2320e-03,-0.0044
4.2400e-03,-0.0036
4.2480e-03,-0.0036
4.2560e-03,-0.0032
4.2640e-03,-0.0042
4.2720e-03,-0.0062
4.2800e-03,-0.008
4.2880e-03,-0.0066
4.2960e-03,-0.0044
4.3040e-03,-0.0028
4.3120e-03,-0.0004
4.3200e-03,-0.0006
4.3280e-03,0.0002
4.3360e-03,-0.0002
4.3440e-03,-0.0014
4.3520e-03,-0.0012
4.3600e-03,-0.0002
4.3680e-03,0.0012
4.3760e-03,0.0032
4.3840e-03,0.0054
4.3920e-03,0.0054
4.4000e-03,0.0042
4.4080e-03,0.003
4.4160e-03,0.003
4.4240e-03,0.0036
4.4320e-03,0.0038
4.4400e-03,0.0052
4.4480e-03,0.0064
4.4560e-03,0.0074
4.4640e-03,0.0082
4.4720e-03,0.0078
4.4800e-03,0.006
4.4880e-03,0.0058
4.4960e-03,0.0054
4.5040e-03,0.0056
4.5120e-03,0.0064
4.5200e-03,0.0066
4.5280e-03,0.0062
